Material;Supplier;Quantity;Price;Currency;Timestamp
Buggy Logo Stickers;Santoro-Barbieri s.r.l.;2397;0.47;EUR;2011-11-10 09:00:00 UTC
Receiver Channel 1MHz;Crona, Huels and Koelpin;507;11.66;CAD;2011-11-10 09:00:00 UTC
Booster Beast Logo Stickers;Leeuwen V.O.F.;5264;0.5;EUR;2011-11-10 09:00:00 UTC
Tire 20 mm;Wisozk-Tremblay;9943;1.28;USD;2011-11-10 09:00:00 UTC
Tire 20 mm;Riviere EURL;14502;1.12;EUR;2011-11-10 09:00:00 UTC
Screw 6mm;Enríquez Soto e Hijos;203524;0.11;EUR;2011-11-10 09:00:00 UTC
Receiver 2-Channel 2MHz;Enríquez Soto e Hijos;3439;15.76;EUR;2011-11-10 09:00:00 UTC
Offroad Logo Stickers;Magaña S.L.;4521;0.45;EUR;2011-11-10 09:00:00 UTC
Ni-Cd Battery 12V 300mAh;Grasso Group;764;2.33;EUR;2011-12-09 22:10:24 UTC
Motor 12V;Grasso Group;3442;8.59;EUR;2011-12-09 22:10:24 UTC
Remote Controller 2-Channel 2MHz;Santoro-Barbieri s.r.l.;7179;21.21;EUR;2011-12-12 09:00:00 UTC
meRote Controller 2-Channel 2MHz;Henkel-Ullrich;5517;23.05;EUR;2011-12-12 09:00:00 UTC
Axle 60mm;Crona, Huels and Koelpin;5220;3.08;CAD;2011-12-12 09:00:00 UTC
Booster Beast Logo Stickers;Gamez, Viera y Ramón Asociados;3833;0.49;EUR;2011-12-12 09:00:00 UTC
Tire 20 mm;Wisrzk-Toemblay;9943;1.28;USD;2011-12-12 09:00:00 UTC
Offroad Logo Stickers;Riviere EURL;6008;0.47;EUR;2011-12-12 09:00:00 UTC
Remote Controller 2-Channel 2MHz;Grasso Group;6853;22.58;EUR;2011-12-12 09:00:00 UTC
